epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,98.375,0.90172,0.56684,1.27287,0.98954,1,0.995,0.63307,1.47341,0.75158,1.81373,0.0002327,0.0002327,0.0002327
110,99.2483,0.83694,0.54953,1.13365,0.98981,1,0.995,0.64804,1.43767,0.7042,1.78255,0.000230225,0.000230225,0.000230225
111,100.104,0.71541,0.57139,1.08947,0.98981,1,0.995,0.64804,1.43767,0.7042,1.78255,0.00022775,0.00022775,0.00022775
112,100.953,0.82599,0.48461,1.01661,0.98981,1,0.995,0.64804,1.43767,0.7042,1.78255,0.000225275,0.000225275,0.000225275
113,101.816,0.82199,0.54536,1.10556,0.98981,1,0.995,0.64804,1.43767,0.7042,1.78255,0.0002228,0.0002228,0.0002228
114,102.841,1.02873,0.8178,1.23496,0.99029,1,0.995,0.70675,1.24885,0.59131,1.54837,0.000220325,0.000220325,0.000220325
115,103.693,0.89295,0.63412,1.16175,0.99029,1,0.995,0.70675,1.24885,0.59131,1.54837,0.00021785,0.00021785,0.00021785
116,104.546,0.88039,0.63479,1.12586,0.99029,1,0.995,0.70675,1.24885,0.59131,1.54837,0.000215375,0.000215375,0.000215375
117,105.4,0.81917,0.59497,1.07556,0.99029,1,0.995,0.70675,1.24885,0.59131,1.54837,0.0002129,0.0002129,0.0002129
118,106.279,0.88259,0.52432,1.09154,0.99029,1,0.995,0.70699,1.4175,0.61467,1.71926,0.000210425,0.000210425,0.000210425
119,107.136,0.8064,0.65317,1.14643,0.99029,1,0.995,0.70699,1.4175,0.61467,1.71926,0.00020795,0.00020795,0.00020795
120,107.986,0.93642,0.68907,1.10587,0.99029,1,0.995,0.70699,1.4175,0.61467,1.71926,0.000205475,0.000205475,0.000205475
121,108.85,0.68207,0.51267,1.02095,0.99029,1,0.995,0.70699,1.4175,0.61467,1.71926,0.000203,0.000203,0.000203
122,109.735,0.82422,0.52887,1.10255,0.98856,1,0.995,0.54696,1.81595,0.6911,2.21583,0.000200525,0.000200525,0.000200525
123,110.734,0.85528,0.61487,1.02646,0.98856,1,0.995,0.54696,1.81595,0.6911,2.21583,0.00019805,0.00019805,0.00019805
124,111.599,0.85776,0.56088,1.07001,0.98856,1,0.995,0.54696,1.81595,0.6911,2.21583,0.000195575,0.000195575,0.000195575
125,112.455,1.1059,0.64243,1.45609,0.98856,1,0.995,0.54696,1.81595,0.6911,2.21583,0.0001931,0.0001931,0.0001931
126,113.339,0.97034,0.61892,1.27317,0.98971,1,0.995,0.58489,1.65723,0.66862,1.97939,0.000190625,0.000190625,0.000190625
127,114.19,0.77247,0.53088,1.00409,0.98971,1,0.995,0.58489,1.65723,0.66862,1.97939,0.00018815,0.00018815,0.00018815
128,115.049,0.72471,0.51788,0.98068,0.98971,1,0.995,0.58489,1.65723,0.66862,1.97939,0.000185675,0.000185675,0.000185675
129,115.897,0.8676,0.51786,1.08189,0.98971,1,0.995,0.58489,1.65723,0.66862,1.97939,0.0001832,0.0001832,0.0001832
130,116.922,0.78922,0.60073,1.0916,0.99054,1,0.995,0.73619,1.19699,0.56152,1.51086,0.000180725,0.000180725,0.000180725
131,117.882,0.71071,0.4756,1.01858,0.99054,1,0.995,0.73619,1.19699,0.56152,1.51086,0.00017825,0.00017825,0.00017825
132,118.847,0.78309,0.56248,1.08091,0.99054,1,0.995,0.73619,1.19699,0.56152,1.51086,0.000175775,0.000175775,0.000175775
